phase,dataset,split,protocol,model,seed,config_tag,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,ece_mean,ece_std
PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,0.9514115943284744,0.013153989800612801,0.5342971126294354,0.09711706854672458,0.018063491185082783,0.0012627936243722181,0.011858797586875377,0.004527994373966912
PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,0.9151702614981115,0.021188726065827744,0.4604111133472742,0.09527159522659397,0.017886358207554052,0.001684901065081325,0.005934719442810953,0.0012337711155749973
PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,0.9519347003683418,0.01617391047527349,0.5674823863636306,0.09094806590432347,0.0169484028898998,0.001717207133382175,0.010063359479051112,0.0037237656025155184
PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,0.9063683068532088,0.02831162230365241,0.46397771662762083,0.10064946018990374,0.017873656912094766,0.0018014064121280268,0.006538113181941749,0.0012831860595232457
PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,0.9629989349366669,0.010188209726679628,0.5783925977012722,0.09448509834313691,0.015685595935958786,0.001855047325468784,0.008372303209591089,0.0015483908162205824
PHASE1_MAIN,A,S1,P1,extratrees,2026,PHASE1_MAIN,0.9487105728348423,0.01847454833297516,0.5303138828169548,0.1027762921280621,0.0182269254347067,0.001570960371958815,0.011993795149806565,0.004193144184412062
PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,0.9153049538531596,0.021089451722237477,0.4618484729747763,0.09515894857316314,0.017873323076477803,0.001675356977471058,0.005833959630991966,0.0014166242454473994
PHASE1_MAIN,A,S1,P1,rf,2026,PHASE1_MAIN,0.9515764761611564,0.016639892195568332,0.5739004880131248,0.09743615376517838,0.016657911393575555,0.0018013034769320815,0.009683792731296272,0.002957480123485627
PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,0.9067105336274821,0.028491024843283804,0.46519748581048415,0.10042410953019175,0.01786065538914412,0.0018031439663799352,0.006201109475156881,0.0017787739672690418
PHASE1_MAIN,A,S1,P1,xgb,2026,PHASE1_MAIN,0.9622381817120251,0.010417544847613269,0.5736139670812841,0.09451394900757466,0.015631709847795997,0.0018851462578988675,0.006750267779564348,0.0016339875510895312
PHASE1_MAIN,A,S1,P2,extratrees,2026,PHASE1_MAIN,0.9514115943284744,0.013153989800612801,0.5342971126294354,0.09711706854672458,0.018063491185082783,0.0012627936243722181,0.011858797586875377,0.004527994373966912
PHASE1_MAIN,A,S1,P2,lr_l2,2026,PHASE1_MAIN,0.9133066567980718,0.024667966142078425,0.4571514545040188,0.09872458560413536,0.0179790394999575,0.001828649249817159,0.005952403500381722,0.0008644941936883636
PHASE1_MAIN,A,S1,P2,rf,2026,PHASE1_MAIN,0.9521722679582902,0.01618938656258649,0.5671577535015041,0.09117919726316284,0.01695101638438999,0.0017172052588249672,0.010035393240663697,0.0037483155903151066
PHASE1_MAIN,A,S1,P2,svm_linear_cal,2026,PHASE1_MAIN,0.9063897871303173,0.0282932205677179,0.4639611131069358,0.10059501809913256,0.017871749546307217,0.001801304849092443,0.006437907672623167,0.0015696718674895551
PHASE1_MAIN,A,S1,P2,xgb,2026,PHASE1_MAIN,0.9629989349366669,0.010188209726679628,0.5783925977012722,0.09448509834313691,0.015685595935958786,0.001855047325468784,0.008372303209591089,0.0015483908162205824
PHASE1_MAIN,A,S1,P3,extratrees,2026,PHASE1_MAIN,0.9517524115305275,0.013974394248449342,0.5661438065552256,0.10492510482403325,0.01652704590148607,0.001962319643551501,0.0077424944841104505,0.0029342799381182456
PHASE1_MAIN,A,S1,P3,lr_l2,2026,PHASE1_MAIN,0.8991982699938857,0.020323090592366547,0.4465648227579436,0.08241659956344391,0.01815357091682562,0.0015388107548664587,0.006666729791009579,0.0009775552535587683
PHASE1_MAIN,A,S1,P3,rf,2026,PHASE1_MAIN,0.9545658095018613,0.014408165728242231,0.5734319885264263,0.09094173309499173,0.01617641175020445,0.0016945397530808404,0.006971007051685485,0.0015690910728802514
PHASE1_MAIN,A,S1,P3,svm_linear_cal,2026,PHASE1_MAIN,0.888687867049847,0.026667232637604364,0.45918506624297645,0.08638066862874891,0.018089351712684096,0.0015112672667632172,0.007456953828362228,0.0024864898612187675
PHASE1_MAIN,A,S1,P3,xgb,2026,PHASE1_MAIN,0.9579629013813747,0.010414294390155884,0.5765618615367005,0.08157134014945036,0.015624654022243011,0.0016992792517454228,0.007094211462334621,0.002687160649828486
PHASE1_MAIN,A,S2,P0,extratrees,2026,PHASE1_MAIN,0.9492573079857705,0.003760213973214473,0.5218351042430549,0.093852791723416,0.018276586136223148,0.0016051281793079183,0.013530265809157121,0.0014041895039843657
PHASE1_MAIN,A,S2,P0,lr_l2,2026,PHASE1_MAIN,0.9133633796280675,0.021786942090732918,0.4436227805280962,0.09194549736280846,0.01818686166103961,0.0011734581879276516,0.0070484039141835405,0.001998789424084859
